title,author,age_range,isbn,year,tags,description,detail_url
A World of Dogs,"Carlie Sorosiak, illustrated Luisa Uribe",20236 to 9 years,,,Non-fiction,A fascinating non-fiction bookthat detailseverything on dogs!,https://www.booktrust.org.uk/book-recommendations/bookfinder/a-world-of-dogs/
Carrie and the Roller Boots,"Lisa Thompson, illustrated Jess Rose",20236 to 9 years,,,"Chapter books, Dyslexia","Carrie devises an elaborate roller-skating routine to perform at her school assembly, but she’s never roller-skated before and it’s much trickier than she thought. This delightful, illustrated chapter book about friendship and perseverance is ideal for dyslexic or reluctant readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/carrie-and-the-roller-boots/
Huxley and Flapjack Race to the Rescue,"Alan Macdonald, illustrated Francesca Gambatesa",20236 to 9 years,,,"Chapter books, Funny","Meet Huxley the irrepressible koala and Flapjack the cautious penguin. Together, they have lots of adventures, but can they catch a thief? A fun chapter book packed with energy and brilliant colour illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/huxley-and-flapjack-race-to-the-rescue/
Keisha Jones Takes on the World,"Natalie Denny, illustrated Chanté Timothy",20236 to 9 years,,,Funny,"Keisha wants to be like her inspiring Great Aunt Bee and stand up for what’s right. Her first cause is the price of bunnies in the pet shop. Funny and packed with brilliant illustrations, this will have young readers coming back for more in the series.",https://www.booktrust.org.uk/book-recommendations/bookfinder/keisha-jones-takes-on-the-world/
Max & Chaffy: Welcome to Animal Island,Jamie Smart,20236 to 9 years,,,"Adventure, Funny, Graphic novels, Interactive","Max has just moved to Animal Island where there are lots of new friends – including a chaffy. But Chaffy is lost! Can you help Max find Chaffy? This very young, colourful graphic novel series is brilliantly interactive and full of fun.",https://www.booktrust.org.uk/book-recommendations/bookfinder/max-chaffy-welcome-to-animal-island/
"Meet the Maliks, Twin Detectives The Cookie Culprit","Zanib Mian, illustrated Kyan Cheng",20236 to 9 years,,,"Chapter books, Funny","Can Maysa and Musa solve the mystery of who destroyed the competition cookies? Relatable and funny, this is a story about everyday family life, with a gentle mystery and a BIG lie at the heart of it.",https://www.booktrust.org.uk/book-recommendations/bookfinder/meet-the-maliks-twin-detectives-the-cookie-culprit/
My Family Your Family,"Laura Henry-Allain, illustrated Giovana Medeiros",20236 to 9 years,,,Picture books,"An accessible, usefulnon-fictionguide to all types of families.",https://www.booktrust.org.uk/book-recommendations/bookfinder/my-family-your-family/
Our Earth is a Poem: poetry about nature,"By various, illustrated Annalise Barber, Mariana Roldan, Masha Manapov and Nabila Adani",20236 to 9 years,,,Poetry and rhyme,"A stunning collection of poems, beautifully illustrated, that explores and celebrate nature in its various magnificent forms. Perfect for reading aloud, and for curling up with.",https://www.booktrust.org.uk/book-recommendations/bookfinder/our-earth-is-a-poem-poetry-about-nature/
Pablo and Splash,Sheena Dempsey,20236 to 9 years,,,"Adventure, Funny, Graphic novels",Pablo and Splash are two penguins who’veaccidentallytime-travelled to the Cretaceous period! Can they get home to the icy Antarctic beforethey’reeaten by dinosaurs?A funny colour graphic novel for newly confident readers.,https://www.booktrust.org.uk/book-recommendations/bookfinder/pablo-and-splash/
Space Pirate Bears,"Alastair Chisholm, illustrated Jez Tuya",20236 to 9 years,,,"Adventure, Funny, Picture books",A funny and inventive picture book that celebrates the power of storytelling. One dreary day Dad tells Jamie and Abby a story about a band of intergalactic heroes – the Space Pirate Bears – who must defeat evil Doktor Drab and save the galaxy from dullness…,https://www.booktrust.org.uk/book-recommendations/bookfinder/space-pirate-bears/
Spyceratops,Alex Willmore,20236 to 9 years,,,"Adventure, Funny, Picture books",Spy goggles? Check. Spy bike? Check. Get ready for a top-secret action-packed Spyceratops mission. Super fun – with a surprise ending.,https://www.booktrust.org.uk/book-recommendations/bookfinder/spyceratops/
The Ghost Cat Who Saved my Life,"Pamela Butchart, illustrated Monika Filipina",20236 to 9 years,,,"Adventure, Chapter books, Funny, Dyslexia","When Sav and Liam hear a cat meowing in the upstairs flat, they decide it must be a ghost, so go to investigate. An engaging, heart-warming mystery, ideal for reluctant and dyslexic readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-ghost-cat-who-saved-my-life/
The Girl Who Became a Fish,"Polly Ho-Yen, illustrated Sojung Kim-McCarthy",20236 to 9 years,,,"Chapter books, Coming-of-age","Despite being terrified of water, Ita feels strangely drawn to the nearby river and, when she ventures to put her hands beneath the surface, discovers something unexpected and magical that gradually changes how she sees the world.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-girl-who-became-a-fish/
Tiny the Secret Adventurer,"Aisha Bushby, illustrated Kübra Teber",20236 to 9 years,,,"Adventure, Chapter books, Fantasy","Tiny is a miniature girl who lives among the petals of a sunflower. She embarks on a big adventure when she goes in search of friendship. This gentle, inclusive tale explores the effects of bullying and demonstrates the importance of tolerance and kindness.",https://www.booktrust.org.uk/book-recommendations/bookfinder/tiny-the-secret-adventurer/
We Are All Astronauts!,Kate Pankhurst,20236 to 9 years,,,Picture books,"Luna and her granny learn how to be astronauts together. Packed with space facts, and brilliantly illustrated, this is inspiring STEM content for any child.",https://www.booktrust.org.uk/book-recommendations/bookfinder/we-are-all-astronauts/
Yomi and the Fury of Ninki Nanka,"Davina Tijani, illustrated Adam Douglas-Bagley",20236 to 9 years,,,"Adventure, Chapter books","Yomi, aged around 10 and her younger brother Kay are spending the summer with their Uncle Olu who is a Nkara (dragon) researcher travelling the world lecturing on African studies. They are in The Gambia’s capital city Banjul when Yomi sees Ninki Nanka, the famous and ferocious water dragon and realises it is in trouble.",https://www.booktrust.org.uk/book-recommendations/bookfinder/yomi-and-the-fury-of-ninki-nanka/
Best Friends Forever,Lisa Williamson,20239 to 12 years,,,"Coming-of-age, Funny",This funny and touching coming-of-age story reflects the experiences of many youngsters making the transition to secondary school or experiencing changes in the family.,https://www.booktrust.org.uk/book-recommendations/bookfinder/best-friends-forever/
Bright Stars of Black British History,illustrated Angela Vives,20239 to 12 years,,,"Historical, Non-fiction",Engagingly told life stories of fourteen Black British people and their contributions to the world.,https://www.booktrust.org.uk/book-recommendations/bookfinder/bright-stars-of-black-british-history/
Calling the Whales,"Jasbinder Bilan, illustrated Skylar White",20239 to 12 years,,,"Adventure, Chapter books, Disability, Dyslexia",Apowerful and quick to read adventure storyon saving a humpback whalein Scotland.,https://www.booktrust.org.uk/book-recommendations/bookfinder/calling-the-whales/
Monster in the Woods,Dave Shelton,20239 to 12 years,,,"Adventure, Coming-of-age, Fantasy, Funny","A brilliantly funny, and gloriously rambling, historical hunt for a monster with a great twist at the end and a subtle message about not judging by appearances.",https://www.booktrust.org.uk/book-recommendations/bookfinder/monster-in-the-woods/
Oh Maya Gods,Maz Evans,20239 to 12 years,,,"Adventure, Funny, Myths and legends","Super-sporty Vesper and super-bright Aster are cousins and now reluctant partners in stopping Kizin, the Maya god of death, from killing everyone in the world. A brilliant adventure full of action and humour… and chocolate!",https://www.booktrust.org.uk/book-recommendations/bookfinder/oh-maya-gods/
Scrap,"Guy Bass, illustrated Alessia Trunfio",20239 to 12 years,,,"Adventure, Science fiction","Scrap the robot has vowed never to help another human. Now two children need him, and he’s catapulted into a breakneck adventure full of action and humour. A fantastic read.",https://www.booktrust.org.uk/book-recommendations/bookfinder/scrap/
Shiver Point,Gabriel Dylan,20239 to 12 years,,,Horror,"A short, snappy rollercoaster of a horror story with a skilful build-up of tension from​‘This sleepy town is so bland, nothing ever happens here’ to​‘Aargh, we’re all going to die!’.",https://www.booktrust.org.uk/book-recommendations/bookfinder/shiver-point/
Size Wise,"Camilla de la Bedoyere, illustrated Vasilisa Romanenko",20239 to 12 years,,,Non-fiction,"From the big to the small, size is important and can tell us a lot about the animals and plants that live on planet Earth. This fascinating book zooms in on size to reveal all kinds of interesting facts about why things are the size that they are, and to give young readers a sense of scale.",https://www.booktrust.org.uk/book-recommendations/bookfinder/size-wise/
Stolen History,"Sathnam Sanghera, illustrated Jen Khatun",20239 to 12 years,,,"Around the world, Historical, Non-fiction",An accessible and fascinating look at the British Empire and how it still affects our lives today.,https://www.booktrust.org.uk/book-recommendations/bookfinder/stolen-history/
The Beasts of Knobbly Bottom: Attack of the Vampire Sheep,"Emily-Jane Clark, illustrated Jeff Crowther",20239 to 12 years,,,"Adventure, Chapter books, Fantasy, Funny, Horror","After reluctantly moving to the tiny village of Knobbly Bottom, Maggie is astonished when she encounters a flock of vampire sheep who are determined to take over the world. This hilarious chapter book, with a fast-paced plot and dynamic black-and-white illustrations, is the first in a fabulously funny series that is perfect for junior readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-beasts-of-knobbly-bottom-attack-of-the-vampire-sheep/
The Boy Who Fell from the Sky,Benjamin Dean,20239 to 12 years,,,"Adventure, Science fiction","Zed’s dad is the First Hunter of Demons. But when Zed meets a Demon, he discovers thatthey​’renotas terrifying asthe mythssay. Exciting and full ofheart.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-boy-who-fell-from-the-sky/
The Final Year,"Matt Goodfellow, illustrated Joe Todd-Stanton",20239 to 12 years,,,"Chapter books, Poetry and rhyme","When he falls out with his best friend and then his little brother is rushed into hospital, Nate’s world is turned upside-down. This incredibly powerful novel, written entirely in free verse and accompanied by thoughtful illustrations, is an emotional read.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-final-year/
The Wonder Brothers,"Frank Cottrell-Boyce, illustrated Steven Lenton",20239 to 12 years,,,"Adventure, Around the world, Funny, Thriller","A funny, glitter-spangled, mystery thriller for anyone who likes a dose of danger with their magic.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-wonder-brothers/
Who Let the Words Out?,"Joshua Seigal, illustrated Chris Piascik",20239 to 12 years,,,"Funny, Poetry and rhyme","A funny and engaging poetry collection, perfect for reading aloud and for sharing.",https://www.booktrust.org.uk/book-recommendations/bookfinder/who-let-the-words-out/
Can You Find My Eid Presents?,"A. M. Dassu, illustrated Junissa Bianda",20242 to 6 years,,,Picture books,Hana can’t find the family’s Eid presents! She lookseverywhere– will she find them in time for Eid? A fun search-and-find story.,https://www.booktrust.org.uk/book-recommendations/bookfinder/can-you-find-my-eid-presents/
Aqua Boy,Ken Wilson-Max,20244 to 6 years,,,Picture books,"Aaronis scared ofgoing under the water. But when he finds an octopus stranded on the beach, hemust be brave. A gentle story about facing fears, and about ocean conservation.",https://www.booktrust.org.uk/book-recommendations/bookfinder/aqua-boy/
Does a Bear Wash Its Hair?,"Moira Butterfield, illustrated Adam Ming",20244 to 6 years,,,"Funny, Non-fiction, Poetry and rhyme","A fact-filled, rhyming picture bookabout self-care routines. Animals are just like you!",https://www.booktrust.org.uk/book-recommendations/bookfinder/does-a-bear-wash-its-hair/
Flower Block,"Lanisha Butterfield, illustrated Hoang Giang",20244 to 6 years,,,Picture books,Theo’s sunflower has grownrightthrough the tower block! A delightful celebration of nature and community.,https://www.booktrust.org.uk/book-recommendations/bookfinder/flower-block/
Hamster Heroes,"Peter Bently, illustrated John Bond",20244 to 6 years,,,"Funny, Picture books, Poetry and rhyme",An action-packed and hilarious rhyming adventure which sees a team of hamster superheroes battle against a variety of rodent foes.,https://www.booktrust.org.uk/book-recommendations/bookfinder/hamster-heroes/
I Really Really Don’t Like Parties,Angie Morgan,20244 to 6 years,,,Picture books,"Dora finds parties loud and overwhelming. But when she meets a similarly quiet child at a birthday, she realises they may not be sobad after all.",https://www.booktrust.org.uk/book-recommendations/bookfinder/i-really-really-dont-like-parties/
The Magic Callaloo,"Trish Cooke, illustrated Sophie Bass",20244 to 6 years,,,"Historical, Picture books","In a wonderful allegorical story highlighting a crucial part of Black history, superstar children’s author Trish Cooke tells a tale inspired by the real stories ofenslavedAfricans who made patterns in their cornrowed hair, using them as maps to escape their enslavers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-magic-callaloo/
Wanna see A Llama?,"Simon Philip, illustrated Ian Smith",20244 to 6 years,,,"Interactive, Non-fiction, Picture books","Two children areout and aboutin a city, looking for llamas.One of the children issupposedlyallama expert, butwill the children find one?Funny andinteractive.",https://www.booktrust.org.uk/book-recommendations/bookfinder/wanna-see-a-llama/
Wild Book Day,"Karl Newson, illustrated James Brown",20244 to 6 years,,,Picture books,"It’sWild Book Day, when all the pictures escape from the books. What fun they have!This is a book to make children leap about with excitement, but also to encourage a love of reading.Fun-filled book joy!",https://www.booktrust.org.uk/book-recommendations/bookfinder/wild-book-day/
Astrid and the Space Cadets: Attack of the Snailiens!,Alex T Smith,20244 to 9 years,,,"Adventure, Chapter books, Funny, Science fiction","Every night, six-year-old Astrid transforms into a Space Cadet, an intergalactic helper who zooms across the universe to solve problems and assist those in need. This fast-paced, funny chapter book is accompanied by magnificent black-and-white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/astrid-and-the-space-cadets-attack-of-the-snailiens/
Beti and the Little Round House,"Atinuke, illustrated Emily Hughes",20246 to 9 years,,,"Chapter books, Funny",Follow the adventures of Beti and her baby goat Naughty in this beautifully written and illustrated book as they explore the natural world which surrounds her little round house in the Welsh countryside.,https://www.booktrust.org.uk/book-recommendations/bookfinder/beti-and-the-little-round-house/
Big Bad Wolf Investigates: Fairy Tales,"Catherine Cawthorne, illustrated Sara Ogilvie",20246 to 9 years,,,"Funny, Non-fiction, Picture books",Could the Big Bad Wolfreallyblow down a straw house? A funny look at familiar fairy tales through the lens of STEM.,https://www.booktrust.org.uk/book-recommendations/bookfinder/big-bad-wolf-investigates-fairy-tales/
Croaky: Search for the Sasquatch,Matty Long,20246 to 9 years,,,"Adventure, Chapter books, Funny","Croaky Hopper is a frogwho’skeen for adventure.Sohe’sthrilled to go on a Woggle Scouts camping trip. But will they find the mysterious Sasquatch?Colourful,funnyandfullof action.",https://www.booktrust.org.uk/book-recommendations/bookfinder/croaky-search-for-the-sasquatch/
Destiny Ink: Sleepover Surprise,Adeola Sokunbi,20246 to 9 years,,,"Chapter books, Funny","Destiny feels nervous about going to her first sleepover. When she meets a friendly monster, the two of themconquer their fears together and have loads of fun on the way!",https://www.booktrust.org.uk/book-recommendations/bookfinder/destiny-ink-sleepover-surprise/
Dino Dad,"Andy Day, illustrated Steven Lenton",20246 to 9 years,,,"Chapter books, Funny","Ruby and her dad can change into dinosaurs! But can they find her little sister on the island ofDinotropolis?A sweet, yet madcap adventure full of brilliant illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dino-dad/
Donut Feed the Squirrels,Mika Song,20246 to 9 years,,,"Comic books, Funny, Graphic novels",Two squirrels want donuts for breakfast – how will they get one? A delightful graphic novel with gentle humour for younger readers.,https://www.booktrust.org.uk/book-recommendations/bookfinder/donut-feed-the-squirrels/
Dr Roopa’s Body Books: The Brilliant Brain,"Dr Roopa Farooki, illustrated Viola Wang",20246 to 9 years,,,"Non-fiction, Picture books","A simple introduction to the way the brain works, with gorgeous bright illustrations. Ideal for young, curious children.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dr-roopas-body-books-the-brilliant-brain/
Habitats,"Hannah Pang, illustrated Isobel Lundie",20246 to 9 years,,,"Non-fiction, Picture books","Explore the different layers of a variety of habitats with this beautiful non-fiction book, featuring interactive layered pages.",https://www.booktrust.org.uk/book-recommendations/bookfinder/habitats/
Holey Moley,"Bethan Clarke, illustrated Anders Frang",20246 to 9 years,,,"Funny, Picture books, Poetry and rhyme","Moles live in holes, right? This funny book plays with rhyme as Gus the Goat tries to guess where his friend Mavis Mole lives.",https://www.booktrust.org.uk/book-recommendations/bookfinder/holey-moley/
Murray and Bun: Murray the Viking,Adam Stower,20246 to 9 years,,,"Adventure, Fantasy, Funny","Best friends Murray the cat and Bun the rabbitaremagically transported back to Viking times, where they become troll hunters. This hilarious comic caper, which is generously illustrated throughout, is the first instalment in an exciting new series for independent young readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/murray-and-bun-murray-the-viking/
Peggy Little-Legs,"Pip Jones, illustrated Paula Bowles",20246 to 9 years,,,Chapter books,"A sausage dog finds out what they are best at in a fun, life-affirming dog adventure for new readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/peggy-little-legs/
Poetry Comics,Grant Snider,20246 to 9 years,,,"Comic books, Poetry and rhyme",Beautifully simple poemsare paired with comic-book style panel illustrations.Two characters across the course of the year as they express themselves through poetry.,https://www.booktrust.org.uk/book-recommendations/bookfinder/poetry-comics/
Reggie Houser Has the Power,Helen Rutter,20246 to 9 years,,,"ADHD, Neurodiversity","A touching, light-hearted book aboutfinding confidence and friendship.",https://www.booktrust.org.uk/book-recommendations/bookfinder/reggie-houser-has-the-power/
Seek and Find: Ocean Animals,illustrated Diego Vaisberg,20246 to 9 years,,,"Interactive, Non-fiction",This interactive non-fiction bookuses aseekand find torch and flaps toexplore thedifferent animalspresent in ocean habitats.,https://www.booktrust.org.uk/book-recommendations/bookfinder/seek-and-find-ocean-animals/
Super Sausage to the Rescue,"Rachel Morrisroe, illustrated Jenny Taylor",20246 to 9 years,,,"Chapter books, Funny",Dottie the flying dachshund must team up with her new owner Harry to rescue theSuperpetsfrom the evil clutches of a sparkly supervillain in thishilarious chapter book.,https://www.booktrust.org.uk/book-recommendations/bookfinder/super-sausage-to-the-rescue/
Taking Shelter,"Guy Bass, illustrated Lee Cosgrove",20246 to 9 years,,,"Chapter books, Funny","Hugh is determined to clear his dog’s name when she’s accused of eating his homework. This hilarious chapter book is full of witty one-liners, daft puns and dynamic black-and-white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/taking-shelter-a-hugh-dunnit-mystery/
"Tangled Tales: Bites, Camera, Action! / Movies, Magic, Mayhem!","Jenny Moore, illustrated Sarah Horne",20246 to 9 years,,,"Chapter books, Funny",Two interlinked stories in one – flip the book to read the second one.WillDerek the vampireand Ruby the unusual fairy become film stars?,https://www.booktrust.org.uk/book-recommendations/bookfinder/tangled-tales-bites-camera-action-movies-magic-mayhem/
The Best You,"Nima Patel, illustrated Cally Johnson-Isaacs",20246 to 9 years,,,"Non-fiction, Picture books","In this gentle and uplifting picture book, the common question​‘What do you want to be when you grow up?’ is turned on its head. Children are often asked to think aboutwhatjob they might like to do from an early age. And whilst there is nothing wrong with ambition, this question can feel difficult – after all, there is still so much to learn about the world and maybe you’d like to do many jobs!",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-best-you/
The Last Zookeeper,Aaron Becker,20246 to 9 years,,,"Picture books, Dystopia",Awordless picture bookfeaturing a robot protagonist and aflooded landscape. It is abeautifully illustrated modernretelling of the Noah’s arkstory.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-last-zookeeper/
The World’s First Rollercoaster and Other Amazing Inventions,"Mike Barfield, illustrated Franziska Höllbacher",20246 to 9 years,,,"Comic books, Funny, Non-fiction","Find out the stories behind some of the world’s most important inventions in this funny, comic style, illustrated non-fiction book.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-worlds-first-rollercoaster-and-other-amazing-inventions/
100 Things to Know About Sport,by Usborne,20249 to 12 years,,,Non-fiction,"Delve into the world of sports with this compilation of fascinating facts from around the world. Featuring engaging information,illustrationsand infographics, this isa great choicefor all sports lovers!",https://www.booktrust.org.uk/book-recommendations/bookfinder/100-things-to-know-about-sport/
Angel of Grasmere,Tom Palmer,20249 to 12 years,,,"Historical, Dyslexia","In the midst ofwar, amysterious figureisperforming acts of kindness in a Lake District village. Can Tarn find out who it is? An excellent addition to fiction about World War II.",https://www.booktrust.org.uk/book-recommendations/bookfinder/angel-of-grasmere/
Animal All-Stars,illustrated The Boy Fitz Hammond,20249 to 12 years,,,"Fantasy, Interactive, Non-fiction","Sports expert Clare Balding is here to commentate on a stupendous set of eight edge-of-your-seat sporting events featuring all manner of brilliantly fast, strong and agile animals.",https://www.booktrust.org.uk/book-recommendations/bookfinder/animal-all-stars-incredible-facts-stats-and-stories-from-the-greatest-record-breakers-in-the-animal-world/
Bird Boy,Catherine Bruton,20249 to 12 years,,,Coming-of-age,"Recently orphaned Will is sent to stay with an uncle hedoesn’tknow in a remote, mountainous valley.By caring for an injured osprey, heslowly comes to terms with his grief and learns to trust again.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bird-boy/
