age_range,author,categories,description,detail_url,google_books_id,isbn,isbn10,isbn13,language,page_count,published_date,publisher,tags,thumbnail_url,title,year
4 to 6 years,Angie Morgan,,"Dora finds parties loud and overwhelming. But when she meets a similarly quiet child at a birthday, she realises they may not be sobad after all.",https://www.booktrust.org.uk/book-recommendations/bookfinder/i-really-really-dont-like-parties/,,,,,,,,,Picture books,,I Really Really Dont Like Parties,2024
4 to 6 years,"Stephanie Taylor, illustrated Jade Orlando",,"On her way home from school, Maya announces that she wants to be a princess when she grows up. Mum encourages her to consider other professions, but Maya wont change her mind. Though maybe its not a fairy tale princess shes thinking about. A witty story about inspirational black women.",https://www.booktrust.org.uk/book-recommendations/bookfinder/im-going-to-be-a-princess/,,,,,,,,,Picture books,,Im Going to be a Princess,2023
4 to 6 years,"Joseph Coelho, illustrated Allison Colpoys",Juvenile Fiction,"This is a poignant picture book about the power of friendship and knowing when to say sorry. The gentle, lyrical text from Childrens Laureate Joseph Coelho handles the familiar heightened emotions of playground-fall outs in a way that feels sincere and authentic.",https://www.booktrust.org.uk/book-recommendations/bookfinder/one-little-word/,PHrOEAAAQBAJ,9780711279131,0711279136,9780711279131,en,35,2023-08-10,Frances Lincoln Children's Books,Picture books,https://books.google.com/books/content?id=PHrOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,One Little Word,2023
4 to 6 years,"Rachel Bright, illustrated Nadia Shireen",Juvenile Fiction,Gail is a little snail with a big dream - to become the first snail in space! A hilarious story about the power of passion and persistence.,https://www.booktrust.org.uk/book-recommendations/bookfinder/snail-in-space/,JUPrEAAAQBAJ,9781665951173,1665951176,9781665951173,en,32,2024-01-23,Simon and Schuster,"Funny, Picture books, Poetry and rhyme",https://books.google.com/books/content?id=JUPrEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Snail in Space,2023
4 to 6 years,Bob Graham,Australian fiction,Children join in to draw a beautiful garden with chalk. A gorgeous picture book celebratingcommunityand the positive effect art has oneveryone.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-concrete-garden/,n-7XzwEACAAJ,9781529512649,1529512646,9781529512649,en,0,2023-08,,Picture books,https://books.google.com/books/content?id=n-7XzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Concrete Garden,2023
4 to 6 years,"Ziggy Hanaor, illustrated Daisy Wynter",Juvenile Fiction,"Humphrey the eggisntallowed to do anything energetic - especially not climb walls. But when he and his new friend are locked in the park, hehas toescape somehow! A very funny graphic novel that will have children gigglingout loud.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-egg-incident/,YJzZzwEACAAJ,9781800660434,180066043X,9781800660434,en,0,2024-01-07,,"Funny, Graphic novels",https://books.google.com/books/content?id=YJzZzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Egg Incident,2023
4 to 6 years,"Trish Cooke, illustrated Sophie Bass",Children's stories,"In a wonderful allegorical story highlighting a crucial part of Black history, superstar childrens author Trish Cooke tells a tale inspired by the real stories ofenslavedAfricans who made patterns in their cornrowed hair, using them as maps to escape their enslavers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-magic-callaloo/,EJSM0AEACAAJ,9781529504880,1529504880,9781529504880,en,0,2024,,"Historical, Picture books",https://books.google.com/books/content?id=EJSM0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Magic Callaloo,2024
4 to 6 years,"Michelle Robinson, illustrated Deborah Allwright",,"This is a fabulously funny picture book by the author ofTen Fat Sausages,brimming full of Michelle Robinsons trademark silly humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-thunk/,,,,,,,,,"Funny, Picture books, Poetry and rhyme",,The Thunk,2023
4 to 6 years,illustrated Alice McKinley,,"This is a fabulously funny picture book by the author of Ten Fat Sausages brimming full of Michelle Robinsons trademark silly humour. So The Thunk is a beast, a bit like a skink, although more like a skunk on account of the stink, thought to be extinct but young explorer Hector Voltaire whos had his fair share of other kids saying his heads full of air, is determined to find one.",https://www.booktrust.org.uk/book-recommendations/bookfinder/this-rock-is-mine/,,,,,,,,,"Funny, Picture books",,This Rock is Mine,2023
4 to 6 years,"Simon Philip, illustrated Ian Smith",Juvenile Fiction,"Two children areout and aboutin a city, looking for llamas.One of the children issupposedlyallama expert, butwill the children find one?Funny andinteractive.",https://www.booktrust.org.uk/book-recommendations/bookfinder/wanna-see-a-llama/,AssLEQAAQBAJ,9780192783530,019278353X,9780192783530,en,36,2024-05-23,Oxford University Press - Children,"Interactive, Non-fiction, Picture books",https://books.google.com/books/content?id=AssLEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Wanna see A Llama?,2024
4 to 6 years,"Catherine Cawthorne, illustrated Aysha Awwad",Juvenile Nonfiction,"Join the children as they search for a woolly mammoth and discover lots of other giant Ice Age animals along the way! Charming and informative, with very cute illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/we-went-to-find-a-woolly-mammoth/,H96pEAAAQBAJ,9781444973631,1444973630,9781444973631,en,34,2023-10-12,Hachette UK,Picture books,https://books.google.com/books/content?id=H96pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,We Went to Find a Woolly Mammoth,2023
4 to 6 years,Anna McGregor,,"Meet Fergus, who is a real deep-sea creature. But we can only see his eyes. What could he be? An enjoyable anarchic mash-up of fiction and non-fiction, with facts at the end, and a surprise reveal.",https://www.booktrust.org.uk/book-recommendations/bookfinder/whos-afraid-of-the-light/,,,,,,,,,"Non-fiction, Picture books",,Whos Afraid of the Light?,2023
4 to 6 years,"Karl Newson, illustrated James Brown",,"ItsWild Book Day, when all the pictures escape from the books. What fun they have!This is a book to make children leap about with excitement, but also to encourage a love of reading.Fun-filled book joy!",https://www.booktrust.org.uk/book-recommendations/bookfinder/wild-book-day/,,,,,,,,,Picture books,,Wild Book Day,2024
4 to 9 years,Alex T Smith,Juvenile Fiction,"Every night, six-year-old Astrid transforms into a Space Cadet, an intergalactic helper who zooms across the universe to solve problems and assist those in need. This fast-paced, funny chapter book is accompanied by magnificent black-and-white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/astrid-and-the-space-cadets-attack-of-the-snailiens/,KVvHEAAAQBAJ,9781035019755,1035019752,9781035019755,en,176,2024-03-07,Pan Macmillan,"Adventure, Chapter books, Funny, Science fiction",https://books.google.com/books/content?id=KVvHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Astrid and the Space Cadets: Attack of the Snailiens!,2024
4 to 9 years,Kari Lavelle,Juvenile Nonfiction,"Are you ready for round two of the hilarious guessing game picture book? Discover fascinating facts about animals while guessing if you're looking at a bum or a face! Bum or Face? Volume 2 continues the delightfully cheeky challenge with a whole new set of animals from all over the world. Examine a close-up photo of an animal and then guess whether you're looking at the top or the...um...bottom. The answer is revealed on the next page with a compete photo of the animal! Also included are factual animal details along with how these animals use camouflage or other trickery to engage with their home. Readers will discover animals like the alien butt spider who turns leaves into burrito-like hideaways, the leaf-tailed gecko whose body mimics the leaves and bark of a tree, and many more!",https://www.booktrust.org.uk/book-recommendations/bookfinder/bum-or-face/,_7w70AEACAAJ,9781464224010,1464224013,9781464224010,en,0,2024-04-04,DK Publishing (Dorling Kindersley),"Funny, Non-fiction",https://books.google.com/books/content?id=_7w70AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Bum or Face?,2023
6 to 12 years,"Marcus Rashford and Alex Falase-Koya, illustrated Marta Kissi",Juvenile Fiction,Can the Breakfast Club Investigators find the Phantom Thief and save Asim from being blamed? A gentle mystery with short chapters and lots of energetic illustrations.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-breakfast-club-adventures-the-phantom-thief/,lReyEAAAQBAJ,9781035022687,1035022680,9781035022687,en,149,2023-09-28,Pan Macmillan,,https://books.google.com/books/content?id=lReyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The Breakfast Club Adventures: The Phantom Thief,2023
6 to 12 years,"Nikesh Shukla, illustrated Rochelle Falconer",,"Vinay and hisCouncil of Friends aredisrupted by the arrival of his cousin. Together, they learn toset aside their differences and empathise with each others feelings.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-council-of-good-friends/,,,,,,,,,"Chapter books, Funny",,The Council of Good Friends,2023
6 to 9 years,"Simon Mole, illustrated Matt Hunt",,"This fun and inventive collection of thirty roar-some, illustrated poems celebrates the weird and wonderful world of dinosaurs.",https://www.booktrust.org.uk/book-recommendations/bookfinder/a-first-book-of-dinosaurs/,JHnwzwEACAAJ,9781406396096,1406396095,9781406396096,en,0,2023-09,,"Funny, Poetry and rhyme",https://books.google.com/books/content?id=JHnwzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A First Book of Dinosaurs,2023
6 to 9 years,"Carlie Sorosiak, illustrated Luisa Uribe",Juvenile Nonfiction,A fascinating non-fiction bookthat detailseverything on dogs!,https://www.booktrust.org.uk/book-recommendations/bookfinder/a-world-of-dogs/,TMGszwEACAAJ,9781839948497,1839948493,9781839948497,en,0,2023-09,Nosy Crow Limited,Non-fiction,https://books.google.com/books/content?id=TMGszwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A World of Dogs,2023
6 to 9 years,"Atinuke, illustrated Emily Hughes",Animals,Follow the adventures of Beti and her baby goat Naughty in this beautifully written and illustrated book as they explore the natural world which surrounds her little round house in the Welsh countryside.,https://www.booktrust.org.uk/book-recommendations/bookfinder/beti-and-the-little-round-house/,ejV90AEACAAJ,9781406382433,1406382434,9781406382433,en,0,2024-05,,"Chapter books, Funny",https://books.google.com/books/content?id=ejV90AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Beti and the Little Round House,2024
6 to 9 years,"Catherine Cawthorne, illustrated Sara Ogilvie",,Could the Big Bad Wolfreallyblow down a straw house? A funny look at familiar fairy tales through the lens of STEM.,https://www.booktrust.org.uk/book-recommendations/bookfinder/big-bad-wolf-investigates-fairy-tales/,,,,,,,,,"Funny, Non-fiction, Picture books",,Big Bad Wolf Investigates: Fairy Tales,2024
6 to 9 years,"Lisa Thompson, illustrated Jess Rose",Juvenile Fiction,"Carrie devises an elaborate roller-skating routine to perform at her school assembly, but shes never roller-skated before and its much trickier than she thought. This delightful, illustrated chapter book about friendship and perseverance is ideal for dyslexic or reluctant readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/carrie-and-the-roller-boots/,qRHsEAAAQBAJ,9781800903135,1800903138,9781800903135,en,51,2023-08-03,HarperCollins UK,"Chapter books, Dyslexia",https://books.google.com/books/content?id=qRHsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Carrie and the Roller Boots,2023
6 to 9 years,Matty Long,Camping,"Croaky Hopper is a frogwhoskeen for adventure.Sohesthrilled to go on a Woggle Scouts camping trip. But will they find the mysterious Sasquatch?Colourful,funnyandfullof action.",https://www.booktrust.org.uk/book-recommendations/bookfinder/croaky-search-for-the-sasquatch/,1fq6zwEACAAJ,9780192785183,0192785184,9780192785183,en,0,2024-03-07,,"Adventure, Chapter books, Funny",https://books.google.com/books/content?id=1fq6zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Croaky: Search for the Sasquatch,2024
6 to 9 years,Adeola Sokunbi,Juvenile Fiction,"Destiny feels nervous about going to her first sleepover. When she meets a friendly monster, the two of themconquer their fears together and have loads of fun on the way!",https://www.booktrust.org.uk/book-recommendations/bookfinder/destiny-ink-sleepover-surprise/,xx7jEAAAQBAJ,9781805132325,1805132326,9781805132325,en,72,2024-06-06,Nosy Crow,"Chapter books, Funny",https://books.google.com/books/content?id=xx7jEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Destiny Ink: Sleepover Surprise,2024
6 to 9 years,"Andy Day, illustrated Steven Lenton",Juvenile Fiction,"Ruby and her dad can change into dinosaurs! But can they find her little sister on the island ofDinotropolis?A sweet, yet madcap adventure full of brilliant illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dino-dad/,uCfQEAAAQBAJ,9780241642931,0241642930,9780241642931,en,146,2024-05-09,Random House,"Chapter books, Funny",https://books.google.com/books/content?id=uCfQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Dino Dad,2024
6 to 9 years,Mika Song,Juvenile Fiction,Two squirrels want donuts for breakfast - how will they get one? A delightful graphic novel with gentle humour for younger readers.,https://www.booktrust.org.uk/book-recommendations/bookfinder/donut-feed-the-squirrels/,AGiTEAAAQBAJ,9780593125274,0593125274,9780593125274,en,0,2020-09-29,Random House Graphic,"Comic books, Funny, Graphic novels",https://books.google.com/books/content?id=AGiTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Donut Feed the Squirrels,2024
6 to 9 years,"Dr Roopa Farooki, illustrated Viola Wang",,"A simple introduction to the way the brain works, with gorgeous bright illustrations. Ideal for young, curious children.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dr-roopas-body-books-the-brilliant-brain/,,,,,,,,,"Non-fiction, Picture books",,Dr Roopas Body Books: The Brilliant Brain,2024
6 to 9 years,"Hannah Pang, illustrated Isobel Lundie",Juvenile Nonfiction,"Explore the different layers of a variety of habitats with this beautiful non-fiction book, featuring interactive layered pages.",https://www.booktrust.org.uk/book-recommendations/bookfinder/habitats/,fLG-EAAAQBAJ,9781944530419,194453041X,9781944530419,en,42,2024-02-13,Tiger Tales,"Non-fiction, Picture books",https://books.google.com/books/content?id=fLG-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Habitats,2024
6 to 9 years,"Bethan Clarke, illustrated Anders Frang",,"Moles live in holes, right? This funny book plays with rhyme as Gus the Goat tries to guess where his friend Mavis Mole lives.",https://www.booktrust.org.uk/book-recommendations/bookfinder/holey-moley/,qLiGzwEACAAJ,9781801044134,1801044139,9781801044134,en,0,2023-05-11,Little Tiger Press,"Funny, Picture books, Poetry and rhyme",https://books.google.com/books/content?id=qLiGzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Holey Moley,2024
6 to 9 years,"Alan Macdonald, illustrated Francesca Gambatesa",,"Meet Huxley the irrepressible koala and Flapjack the cautious penguin. Together, they have lots of adventures, but can they catch a thief? A fun chapter book packed with energy and brilliant colour illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/huxley-and-flapjack-race-to-the-rescue/,,,,,,,,,"Chapter books, Funny",,Huxley and Flapjack Race to the Rescue,2023
6 to 9 years,"Natalie Denny, illustrated Chant Timothy",Juvenile Fiction,"Keisha wants to be like her inspiring Great Aunt Bee and stand up for whats right. Her first cause is the price of bunnies in the pet shop. Funny and packed with brilliant illustrations, this will have young readers coming back for more in the series.",https://www.booktrust.org.uk/book-recommendations/bookfinder/keisha-jones-takes-on-the-world/,j9q6zwEACAAJ,9781788955980,1788955986,9781788955980,en,0,2023,,Funny,https://books.google.com/books/content?id=j9q6zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Keisha Jones Takes on the World,2023
6 to 9 years,Jamie Smart,,"Max has just moved to Animal Island where there are lots of new friends - including a chaffy. But Chaffy is lost! Can you help Max find Chaffy? This very young, colourful graphic novel series is brilliantly interactive and full of fun.",https://www.booktrust.org.uk/book-recommendations/bookfinder/max-chaffy-welcome-to-animal-island/,,,,,,,,,"Adventure, Funny, Graphic novels, Interactive",,Max & Chaffy: Welcome to Animal Island,2023
6 to 9 years,"Zanib Mian, illustrated Kyan Cheng",Juvenile Nonfiction,"Can Maysa and Musa solve the mystery of who destroyed the competition cookies? Relatable and funny, this is a story about everyday family life, with a gentle mystery and a BIG lie at the heart of it.",https://www.booktrust.org.uk/book-recommendations/bookfinder/meet-the-maliks-twin-detectives-the-cookie-culprit/,TFYl0AEACAAJ,9781444934571,1444934570,9781444934571,en,0,2024-08-27,Hodder Children's Books,"Chapter books, Funny",https://books.google.com/books/content?id=TFYl0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Meet the Maliks, Twin Detectives The Cookie Culprit",2023
6 to 9 years,Adam Stower,Juvenile Fiction,"Best friends Murray the cat and Bun the rabbitaremagically transported back to Viking times, where they become troll hunters. This hilarious comic caper, which is generously illustrated throughout, is the first instalment in an exciting new series for independent young readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/murray-and-bun-murray-the-viking/,WT4qEQAAQBAJ,9798217030989,,9798217030989,en,193,2025-06-03,Random House,"Adventure, Fantasy, Funny",https://books.google.com/books/content?id=WT4qEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Murray and Bun: Murray the Viking,2024
6 to 9 years,"Laura Henry-Allain, illustrated Giovana Medeiros",,"An accessible, usefulnon-fictionguide to all types of families.",https://www.booktrust.org.uk/book-recommendations/bookfinder/my-family-your-family/,,,,,,,,,Picture books,,My Family Your Family,2023
6 to 9 years,"By various, illustrated Annalise Barber, Mariana Roldan, Masha Manapov and Nabila Adani",,"A stunning collection of poems, beautifully illustrated, that explores and celebrate nature in its various magnificent forms. Perfect for reading aloud, and for curling up with.",https://www.booktrust.org.uk/book-recommendations/bookfinder/our-earth-is-a-poem-poetry-about-nature/,,,,,,,,,Poetry and rhyme,,Our Earth is a Poem: poetry about nature,2023
6 to 9 years,Sheena Dempsey,Juvenile Fiction,Pablo and Splash are two penguins whoveaccidentallytime-travelled to the Cretaceous period! Can they get home to the icy Antarctic beforetheyreeaten by dinosaurs?A funny colour graphic novel for newly confident readers.,https://www.booktrust.org.uk/book-recommendations/bookfinder/pablo-and-splash/,ekosEQAAQBAJ,9781526662606,1526662604,9781526662606,en,242,2024-01-18,Bloomsbury Publishing,"Adventure, Funny, Graphic novels",https://books.google.com/books/content?id=ekosEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Pablo and Splash,2023
6 to 9 years,"Pip Jones, illustrated Paula Bowles",Juvenile Fiction,"A sausage dog finds out what they are best at in a fun, life-affirming dog adventure for new readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/peggy-little-legs/,pxHsEAAAQBAJ,9781800903067,1800903065,9781800903067,en,51,2023-06-01,HarperCollins UK,Chapter books,https://books.google.com/books/content?id=pxHsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Peggy Little-Legs,2024
6 to 9 years,Grant Snider,Juvenile Fiction,Beautifully simple poemsare paired with comic-book style panel illustrations.Two characters across the course of the year as they express themselves through poetry.,https://www.booktrust.org.uk/book-recommendations/bookfinder/poetry-comics/,zd_WEAAAQBAJ,9781797223711,1797223712,9781797223711,en,95,2024-03-26,Chronicle Books,"Comic books, Poetry and rhyme",https://books.google.com/books/content?id=zd_WEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Poetry Comics,2024
6 to 9 years,Helen Rutter,Juvenile Fiction,"A touching, light-hearted book aboutfinding confidence and friendship.",https://www.booktrust.org.uk/book-recommendations/bookfinder/reggie-houser-has-the-power/,bjAl0AEACAAJ,9780702314650,070231465X,9780702314650,en,0,2024-01-07,,"ADHD, Neurodiversity",https://books.google.com/books/content?id=bjAl0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Reggie Houser Has the Power,2024
6 to 9 years,illustrated Diego Vaisberg,,This interactive non-fiction bookuses aseekand find torch and flaps toexplore thedifferent animalspresent in ocean habitats.,https://www.booktrust.org.uk/book-recommendations/bookfinder/seek-and-find-ocean-animals/,,,,,,,,,"Interactive, Non-fiction",,Seek and Find: Ocean Animals,2024
6 to 9 years,"Alastair Chisholm, illustrated Jez Tuya",Children's stories,A funny and inventive picture book that celebrates the power of storytelling. One dreary day Dad tells Jamie and Abby a story about a band of intergalactic heroes - the Space Pirate Bears - who must defeat evil Doktor Drab and save the galaxy from dullness...,https://www.booktrust.org.uk/book-recommendations/bookfinder/space-pirate-bears/,HnLWzwEACAAJ,9781529507256,1529507251,9781529507256,en,0,2023-08,,"Adventure, Funny, Picture books",https://books.google.com/books/content?id=HnLWzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Space Pirate Bears,2023
6 to 9 years,Alex Willmore,,Spy goggles? Check. Spy bike? Check. Get ready for a top-secret action-packed Spyceratops mission. Super fun - with a surprise ending.,https://www.booktrust.org.uk/book-recommendations/bookfinder/spyceratops/,K158zwEACAAJ,9780008505479,0008505470,9780008505479,en,0,2023-08-03,,"Adventure, Funny, Picture books",https://books.google.com/books/content?id=K158zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Spyceratops,2023
6 to 9 years,"Rachel Morrisroe, illustrated Jenny Taylor",,Dottie the flying dachshund must team up with her new owner Harry to rescue theSuperpetsfrom the evil clutches of a sparkly supervillain in thishilarious chapter book.,https://www.booktrust.org.uk/book-recommendations/bookfinder/super-sausage-to-the-rescue/,,,,,,,,,"Chapter books, Funny",,Super Sausage to the Rescue,2024
6 to 9 years,"Guy Bass, illustrated Lee Cosgrove",Juvenile Fiction,"Hugh is determined to clear his dogs name when shes accused of eating his homework. This hilarious chapter book is full of witty one-liners, daft puns and dynamic black-and-white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/taking-shelter-a-hugh-dunnit-mystery/,KJb5EAAAQBAJ,9781787612761,1787612767,9781787612761,en,68,2024-04-04,Andersen Press Limited,"Chapter books, Funny",https://books.google.com/books/content?id=KJb5EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Taking Shelter,2024
6 to 9 years,"Jenny Moore, illustrated Sarah Horne",,Two interlinked stories in one - flip the book to read the second one.WillDerek the vampireand Ruby the unusual fairy become film stars?,https://www.booktrust.org.uk/book-recommendations/bookfinder/tangled-tales-bites-camera-action-movies-magic-mayhem/,,,,,,,,,"Chapter books, Funny",,"Tangled Tales: Bites, Camera, Action! / Movies, Magic, Mayhem!",2024
6 to 9 years,"Nima Patel, illustrated Cally Johnson-Isaacs",,"In this gentle and uplifting picture book, the common questionWhat do you want to be when you grow up? is turned on its head. Children are often asked to think aboutwhatjob they might like to do from an early age. And whilst there is nothing wrong with ambition, this question can feel difficult - after all, there is still so much to learn about the world and maybe youd like to do many jobs!",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-best-you/,,,,,,,,,"Non-fiction, Picture books",,The Best You,2024
6 to 9 years,"Pamela Butchart, illustrated Monika Filipina",Juvenile Fiction,"When Sav and Liam hear a cat meowing in the upstairs flat, they decide it must be a ghost, so go to investigate. An engaging, heart-warming mystery, ideal for reluctant and dyslexic readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-ghost-cat-who-saved-my-life/,tRHsEAAAQBAJ,9781800903128,180090312X,9781800903128,en,53,2023-07-06,HarperCollins UK,"Adventure, Chapter books, Funny, Dyslexia",https://books.google.com/books/content?id=tRHsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The Ghost Cat Who Saved my Life,2023
